Location,Population,Highest_Infection_Count,Percent_Population_Infected
Brunei,455326,350550,76.9900
"San Marino",34066,25292,74.2400
Austria,9064633,6083136,67.1100
"South Korea",51782473,34571873,66.7600
Martinique,349407,230354,65.9300
Slovenia,2115184,1363250,64.4500
"Faroe Islands",53990,34658,64.1900
Jersey,103444,66391,64.1800
Luxembourg,653267,397948,60.9200
Andorra,79675,48015,60.2600
Niue,1812,1092,60.2600
"Saint Pierre and Miquelon",5724,3426,59.8500
France,66277365,39040323,58.9000
Denmark,5902846,3447723,58.4100
Reunion,871486,494595,56.7500
Guernsey,63698,35326,55.4600
Greece,10412428,5773491,55.4500
Iceland,380322,210822,55.4300
"Falkland Islands",3475,1923,55.3400
Liechtenstein,39287,21620,55.0300
Gibraltar,37590,20550,54.6700
Portugal,10417030,5671586,54.4500
Cyprus,1331324,713120,53.5600
Singapore,5649833,3006155,53.2100
Israel,9103094,4841558,53.1900
Guadeloupe,384653,203235,52.8400
"New Zealand",5131680,2668236,52.0000
Latvia,1881016,977781,51.9800
Switzerland,8792128,4478830,50.9400
Lithuania,2816872,1426096,50.6300
"Saint Barthelemy",10897,5507,50.5400
"Cook Islands",14706,7375,50.1500
Georgia,3794728,1864383,49.1300
Netherlands,17904367,8650834,48.3200
Nauru,11783,5393,45.7700
Germany,84086176,38437865,45.7100
Estonia,1350038,614599,45.5200
Bahrain,1533408,696614,45.4300
Australia,26200929,11861161,45.2700
Czechia,10673169,4832224,45.2700
Italy,59619058,26968605,45.2300
"Isle of Man",84093,38008,45.2000
Monaco,38907,17181,44.1600
"Cayman Islands",71558,31472,43.9800
"Saint Martin (French part)",28847,12324,42.7200
Belgium,11641759,4896697,42.0600
"Bonaire Sint Eustatius and Saba",28604,11922,41.6800
Seychelles,125480,51899,41.3600
Aruba,107746,44224,41.0400
Montenegro,614603,251280,40.8800
"Marshall Islands",40058,16297,40.6800
"Saint Helena",5330,2166,40.6400
"Puerto Rico",3240923,1252713,38.6500
Barbados,282268,108858,38.5700
Serbia,6791172,2567965,37.8100
"United Kingdom",68179267,25051264,36.7400
Palau,17738,6372,35.9200
Maldives,524067,186694,35.6200
Croatia,3906988,1354298,34.6600
Slovakia,5473145,1886005,34.4600
Ireland,5109966,1755053,34.3500
"French Guiana",298280,98041,32.8700
"Wallis and Futuna",11451,3760,32.8400
"Northern Mariana Islands",46050,14985,32.5400
Montserrat,4428,1403,31.6800
Guam,165135,52287,31.6600
Uruguay,3390863,1042791,30.7500
"United States",341533996,103436829,30.2900
Mongolia,3385971,1011489,29.8700
